Gene	sgRNA
FOLR3	FOLR3_+_71826225.23-P1
FOLR3	FOLR3_+_71826241.23-P1
FOLR3	FOLR3_+_71826251.23-P1
PPP3CA	PPP3CA_+_102268585.23-P1P2
LTF	LTF_-_46505940.23-P1P2
FCGR3A	FCGR3A_+_161519295.23-P1P2
FCGR3A	FCGR3A_+_161519475.23-P1P2
CDK5	CDK5_-_150754512.23-P1P2
KCNH2	KCNH2_-_150675014.23-P1
ZAP70	ZAP70_+_98330099.23-P1P2
PISD	PISD_+_32026789.23-ENST00000266095.5
MAPK8IP3	MAPK8IP3_-_1756368.23-P1P2
NEK5	NEK5_+_52702988.23-P1P2
ACP5	ACP5_-_11689356.23-P2
ACP5	ACP5_-_11689744.23-P2
ACP5	ACP5_-_11688455.23-P1
CA9	CA9_+_35673977.23-P1P2
PLEKHA4	PLEKHA4_+_49371495.23-P1P2
PLEKHA4	PLEKHA4_-_49371930.23-P1P2
HRH2	HRH2_-_175085125.23-P1P2
ACTA1	ACTA1_-_229568723.23-P2
ACTA1	ACTA1_-_229569754.23-P1
ACTA1	ACTA1_+_229569744.23-P1
TNK2	TNK2_+_195603579.23-P1
CDKL1	CDKL1_+_50863588.23-P1P2
SMPD1	SMPD1_+_6411694.23-P1P2
PPP1R9A	PPP1R9A_+_94536988.23-P1P2
ALDH3A2	ALDH3A2_-_19552119.23-P1P2
AURKC	AURKC_+_57742897.23-P1P2
AURKC	AURKC_+_57742445.23-P1P2
PPFIA3	PPFIA3_-_49622853.23-P2
PPFIA3	PPFIA3_+_49631826.23-P1
CDK11B	CDK11B_+_1588853.23-ENST00000317673.7
CDK11B	CDK11B_+_1588866.23-ENST00000317673.7
MARK2	MARK2_-_63656296.23-P2
RPS6KL1	RPS6KL1_+_75389876.23-P1P2
GALNT1	GALNT1_+_33234666.23-ENST00000269195.5
GALNT1	GALNT1_+_33234913.23-ENST00000269195.5
TYK2	TYK2_+_10491184.23-P1P2
ACHE	ACHE_-_100493122.23-P1
LDHC	LDHC_-_18433892.23-P1P2
VKORC1L1	VKORC1L1_+_65338072.23-P1P2
BMPR2	BMPR2_+_203241453.23-P1P2
BMPR2	BMPR2_+_203241081.23-P1P2
MAPKBP1	MAPKBP1_+_42066764.23-P1P2
MAPKBP1	MAPKBP1_+_42066684.23-P1P2
ACSL1	ACSL1_+_185747085.23-P1P2
GATM	GATM_+_45670690.23-P1
OGDH	OGDH_-_44646661.23-P1P2
SYK	SYK_+_93564499.23-P1
SYK	SYK_-_93564444.23-P1
SYK	SYK_-_93564454.23-P1
IFNGR1	IFNGR1_+_137540537.23-P1P2
IFNGR1	IFNGR1_+_137540523.23-P1P2
MAP4K2	MAP4K2_-_64570267.23-P1P2
MAP4K2	MAP4K2_-_64570446.23-P1P2
C5	C5_-_123812525.23-P1P2
ETNK2	ETNK2_+_204121162.23-P1P2
PRKD2	PRKD2_-_47220343.23-P1
FER	FER_-_108085027.23-P1
FER	FER_+_108084027.23-P2
MUC2	MUC2_-_1075332.23-P1P2
STK36	STK36_-_219537043.23-P1P2
STK36	STK36_+_219537453.23-P1P2
STK36	STK36_+_219537487.23-P1P2
MMP16	MMP16_+_89339656.23-P1P2
MMP16	MMP16_+_89339468.23-P1P2
AVPR1B	AVPR1B_+_206223995.23-P1P2
AVPR1B	AVPR1B_-_206223975.23-P1P2
C1S	C1S_-_7168284.23-P1P2
DDR1	DDR1_-_30852454.23-P1
PTPRK	PTPRK_+_128812664.23-P2
FGF4	FGF4_+_69589698.23-P1P2
PRKAA2	PRKAA2_-_57111086.23-P1P2
SGPP1	SGPP1_+_64194704.23-P1P2
NADK	NADK_+_1709845.23-P1
ACOX1	ACOX1_+_73975227.23-P1P2
ETNK1	ETNK1_-_22778158.23-P1P2
GABRD	GABRD_-_1951194.23-P1P2
GABRD	GABRD_+_1951088.23-P1P2
CDK8	CDK8_+_26828294.23-P1P2
ESRRG	ESRRG_-_216978269.23-ENST00000360012.3
ESRRG	ESRRG_+_217310891.23-ENST00000366940.2
ESRRG	ESRRG_+_217310765.23-ENST00000366940.2
ESRRG	ESRRG_+_217311105.23-ENST00000366940.2
ESRRG	ESRRG_+_216978651.23-ENST00000360012.3
PCMT1	PCMT1_-_150070885.23-P1P2
HSD17B8	HSD17B8_+_33172465.23-P1P2
HSD17B8	HSD17B8_-_33172506.23-P1P2
NEK7	NEK7_+_198126182.23-P1P2
NEK7	NEK7_+_198126513.23-P1P2
PKIB	PKIB_+_123039146.23-P2
CEACAM1	CEACAM1_-_43032561.23-P1
PGAM2	PGAM2_+_44105142.23-P1P2
CDKL3	CDKL3_+_133702210.23-P2
CACNB1	CACNB1_-_37353836.23-P1P2
CACNB1	CACNB1_+_37353849.23-P1P2
GUCY2F	GUCY2F_-_108725317.23-P1P2
PPP1R3F	PPP1R3F_+_49126680.23-P1P2
GRM8	GRM8_+_126892553.23-P1P2
BCKDK	BCKDK_-_31120143.23-P1P2
BCKDK	BCKDK_+_31120200.23-P1P2
KDR	KDR_-_55991556.23-P1P2
NDUFV1	NDUFV1_-_67378165.23-P2
NDUFV1	NDUFV1_-_67374465.23-P1
NMNAT3	NMNAT3_+_139396400.23-P1P2
MAP1A	MAP1A_+_43809863.23-P1P2
EGLN1	EGLN1_-_231557776.23-P1P2
HBB	HBB_+_5247794.23-P1
RPS6KA5	RPS6KA5_+_91526950.23-P1P2
GLYATL1	GLYATL1_+_58710900.23-P2
GCA	GCA_+_163200647.23-P1P2
SLC18A1	SLC18A1_-_20040184.23-P1P2
SLC18A1	SLC18A1_+_20040178.23-P1P2
NPPB	NPPB_+_11918591.23-P1P2
GPX8	GPX8_+_54456012.23-P1P2
CDKN1C	CDKN1C_+_2906927.23-P1P2
SERPINC1	SERPINC1_+_173886066.23-P1P2
SERPINC1	SERPINC1_-_173886417.23-P1P2
MAPKAPK5	MAPKAPK5_-_112280061.23-P1P2
CMPK1	CMPK1_+_47799589.23-P1P2
G6PC3	G6PC3_+_42148587.23-P1P2
DRD1	DRD1_+_174871119.23-P1P2
GLDC	GLDC_-_6645734.23-P1P2
GLDC	GLDC_+_6645226.23-P1P2
PTGR2	PTGR2_-_74318707.23-P1P2
ARPC4	ARPC4_-_9834275.23-P1P2
ARPC4	ARPC4_-_9834393.23-P1P2
ADAM33	ADAM33_-_3662194.23-P1P2
SGK1	SGK1_-_134495913.23-P1
F7	F7_-_113760133.23-P1P2
PPP3CC	PPP3CC_+_22298625.23-P1P2
PPP3CC	PPP3CC_+_22298640.23-P1P2
PTK7	PTK7_-_43044454.23-P1P2
NISCH	NISCH_-_52490002.23-P1P2
ACADS	ACADS_-_121163671.23-P1P2
ACADS	ACADS_+_121163685.23-P1P2
MYLK3	MYLK3_-_46797129.23-P2
MYLK3	MYLK3_-_46797172.23-P2
UGDH	UGDH_+_39528999.23-P1P2
PHPT1	PHPT1_-_139744072.23-P1P2
PTGIS	PTGIS_+_48184271.23-P1P2
PTGIS	PTGIS_+_48184276.23-P1P2
JAK2	JAK2_+_4985359.23-P1P2
PPP2R5B	PPP2R5B_+_64685448.23-P2
INPP1	INPP1_+_191208713.23-P1P2
SKP1	SKP1_-_133512608.23-P1P2
MAST3	MAST3_+_18209026.23-P1P2
SKP2	SKP2_+_36152621.23-P1P2
SKP2	SKP2_-_36152306.23-P1P2
MTMR4	MTMR4_-_56591997.23-P2
CYP3A5	CYP3A5_+_99277143.23-P1P2
PRKG2	PRKG2_-_82135978.23-P1P2
PANK2	PANK2_-_3870120.23-P1P2
SULT1A1	SULT1A1_-_28621367.23-P1P2
PTPN18	PTPN18_-_131114058.23-P2
GSTT2	GSTT2_+_24322350.23-P1P2
KCNN3	KCNN3_-_154842724.23-P1P2
STK16	STK16_-_220110297.23-P1P2
PLA2G1B	PLA2G1B_-_120763872.23-P2
PLA2G1B	PLA2G1B_-_120765494.23-P1
ASS1	ASS1_+_133320409.23-P1P2
GPX3	GPX3_-_150400548.23-P1P2
GPX3	GPX3_+_150400191.23-P1P2
CHRND	CHRND_-_233390951.23-P1P2
FFAR1	FFAR1_+_35842864.23-ENST00000246553.2
FFAR1	FFAR1_-_35842493.23-ENST00000246553.2
RNASEL	RNASEL_-_182558152.23-P1P2
MTM1	MTM1_+_149737435.23-P1P2
ARF6	ARF6_-_50359865.23-P1
FADS2	FADS2_-_61595969.23-P1
FADS2	FADS2_+_61583821.23-P2
PTEN	PTEN_-_89623526.23-P1P2
PTEN	PTEN_-_89623478.23-P1P2
GABBR1	GABBR1_+_29595399.23-P1
GHRHR	GHRHR_-_31003662.23-P2
SSTR1	SSTR1_+_38678301.23-P1P2
MAPKAP1	MAPKAP1_+_128412686.23-P2
MAPKAP1	MAPKAP1_+_128469461.23-P1
PADI3	PADI3_+_17575769.23-P1P2
GRM4	GRM4_-_34113406.23-P2
ALDH3A1	ALDH3A1_+_19651350.23-P1P2
LGSN	LGSN_+_64029425.23-P1P2
DAPK1	DAPK1_-_90112867.23-P1P2
DAPK1	DAPK1_+_90112838.23-P1P2
MGST3	MGST3_+_165600872.23-P1P2
DMPK	DMPK_+_46285229.23-P1P2
STK24	STK24_+_99229297.23-P1P2
BRSK1	BRSK1_-_55795401.23-P1P2
SDHA	SDHA_-_218477.23-P1P2
SDHA	SDHA_-_218484.23-P1P2
MMP26	MMP26_-_5009885.23-ENST00000300762.1
NSF	NSF_-_44668057.23-ENST00000398238.4
NSF	NSF_-_44668038.23-ENST00000398238.4
MST1R	MST1R_+_49940854.23-P1P2
CLPX	CLPX_+_65477605.23-P1P2
PCYT1A	PCYT1A_+_196014484.23-P1P2
HRH1	HRH1_+_11196617.23-P1
UGT3A1	UGT3A1_-_35991106.23-P1P2
RBKS	RBKS_-_28113696.23-P1P2
PARS2	PARS2_+_55230144.23-P1P2
RNASE3	RNASE3_+_21359960.23-P1P2
RNASE3	RNASE3_-_21359811.23-P1P2
PYGL	PYGL_+_51411102.23-P1P2
PYGL	PYGL_-_51410795.23-P1P2
CNR2	CNR2_+_24239806.23-P1P2
CNR2	CNR2_-_24239369.23-P1P2
PRLR	PRLR_-_35230172.23-P1P2
CRYBB1	CRYBB1_+_27013674.23-P1P2
CRYBB1	CRYBB1_+_27013939.23-P1P2
EN2	EN2_+_155251036.23-P1P2
PPP2R5E	PPP2R5E_+_64010030.23-P1P2
NME1	NME1_+_49233034.23-P2
KCNA4	KCNA4_+_30037995.23-P1P2
ALDH4A1	ALDH4A1_-_19228655.23-P1P2
ALDH4A1	ALDH4A1_-_19228763.23-P1P2
MAP2K5	MAP2K5_+_67835580.23-P1P2
OXCT2	OXCT2_+_40236923.23-P1P2
NAGPA	NAGPA_-_5083861.23-P1P2
CHKB	CHKB_+_51021203.23-P1P2
ADORA3	ADORA3_+_112031013.23-P1
APRT	APRT_-_88878107.23-P1P2
SOAT1	SOAT1_+_179262980.23-P1P2
PAK7	PAK7_-_9819498.23-P1P2
PAK7	PAK7_+_9819404.23-P1P2
MAST4	MAST4_+_65892185.23-ENST00000403625.2
HIPK3	HIPK3_-_33279435.23-P1
HIPK3	HIPK3_-_33279241.23-P1
HIPK3	HIPK3_-_33279441.23-P1
MAP3K13	MAP3K13_-_185000771.23-P1
MAP3K13	MAP3K13_+_185081407.23-P2
MAP3K13	MAP3K13_-_185080952.23-P2
PPM1B	PPM1B_+_44396407.23-P1P2
ZFY	ZFY_-_2803487.23-P1P2
KCNJ12	KCNJ12_+_21280385.23-P1P2
CRYZ	CRYZ_-_75198672.23-P1P2
SLC29A1	SLC29A1_-_44187454.23-P2
UHMK1	UHMK1_+_162467890.23-P1P2
HCK	HCK_+_30640471.23-P1P2
AKAP8L	AKAP8L_+_15529786.23-P1P2
EPHA10	EPHA10_-_38230764.23-P2
EPHA10	EPHA10_-_38218863.23-P1
BDH1	BDH1_+_197300050.23-P2
RYK	RYK_+_133969666.23-P1P2
CD80	CD80_-_119278188.23-P1P2
PTGER1	PTGER1_+_14585743.23-P1P2
VTN	VTN_-_26697217.23-P1P2
SLC16A4	SLC16A4_+_110933229.23-P1P2
SLC16A4	SLC16A4_+_110933139.23-P1P2
ROCK2	ROCK2_-_11484367.23-P1P2
IFNAR2	IFNAR2_+_34602657.23-P1P2
PDE10A	PDE10A_-_166075991.23-P1P2
SLC1A3	SLC1A3_-_36606936.23-P1
LALBA	LALBA_+_48963811.23-ENST00000301046.2
PKM	PKM_+_72523385.23-P1
PKM	PKM_+_72523549.23-P1
SAA1	SAA1_+_18287752.23-P1P2
ENO3	ENO3_-_4851690.23-P2
SIK3	SIK3_+_116968907.23-P1P2
SLC25A2	SLC25A2_+_140683592.23-P1P2
SLC6A9	SLC6A9_+_44496990.23-P1P2
PTK6	PTK6_-_62168672.23-P1P2
ASNA1	ASNA1_+_12848698.23-P1P2
VAMP2	VAMP2_+_8066260.23-P1P2
CHRM5	CHRM5_+_34261170.23-P1P2
DGKE	DGKE_+_54911838.23-P1P2
MAP2K1	MAP2K1_-_66679296.23-P1P2
QPCT	QPCT_-_37571905.23-P1P2
QPCT	QPCT_-_37572354.23-P1P2
CYB5R1	CYB5R1_-_202936137.23-P1P2
COL2A1	COL2A1_-_48398051.23-P1P2
PTPRD	PTPRD_-_10033370.23-ENST00000381196.4
PTPRD	PTPRD_-_10033402.23-ENST00000381196.4
MUT	MUT_-_49430450.23-P1P2
MAP3K12	MAP3K12_-_53893217.23-P1P2
F3	F3_+_95007264.23-P1
F3	F3_-_94997459.23-P2
ADRB2	ADRB2_+_148206227.23-P1P2
DGKB	DGKB_+_14942915.23-P1P2
MYO1D	MYO1D_+_31204155.23-P1P2
PANK3	PANK3_+_168006315.23-P1P2
PANK3	PANK3_-_168006361.23-P1P2
SOAT2	SOAT2_-_53497332.23-P1P2
SOAT2	SOAT2_+_53497700.23-P1P2
ABCC9	ABCC9_+_22093678.23-P1P2
CHUK	CHUK_-_101989292.23-P1P2
PACSIN1	PACSIN1_-_34433932.23-P1
PACSIN1	PACSIN1_+_34433900.23-P1
PACSIN1	PACSIN1_-_34433929.23-P1
PACSIN1	PACSIN1_+_34483083.23-P2
TTBK1	TTBK1_-_43211275.23-P1P2
RIOK3	RIOK3_-_21033300.23-P1P2
GRK7	GRK7_+_141497478.23-P1P2
STK11IP	STK11IP_+_220462587.23-P1P2
STK11IP	STK11IP_-_220462640.23-P1P2
SLC6A5	SLC6A5_+_20621183.23-P1P2
CDK6	CDK6_-_92463259.23-P2
CDK6	CDK6_+_92465903.23-P1
H6PD	H6PD_+_9299953.23-P2
LIMK1	LIMK1_+_73498175.23-P1
PNCK	PNCK_+_152938802.23-P1P2
GALK1	GALK1_+_73761141.23-P1P2
NPY2R	NPY2R_+_156130267.23-P1P2
P4HB	P4HB_-_79818363.23-P1P2
WNK4	WNK4_+_40932966.23-P1P2
PDE8B	PDE8B_-_76506581.23-P1P2
PDE8B	PDE8B_-_76506559.23-P1P2
RPS6KA3	RPS6KA3_+_20284937.23-P1P2
ALOX5	ALOX5_+_45869730.23-P1P2
ALOX5	ALOX5_+_45869734.23-P1P2
PTGER4	PTGER4_+_40681099.23-P2
PLCL1	PLCL1_+_198669400.23-P1P2
TNFSF11	TNFSF11_+_43148338.23-P1P2
BEGAIN	BEGAIN_-_101014193.23-P2
BEGAIN	BEGAIN_+_101053258.23-P1
CCL8	CCL8_-_32646449.23-P1P2
CCL8	CCL8_-_32646459.23-P1P2
STK39	STK39_+_169104017.23-P1P2
TAOK1	TAOK1_+_27717866.23-P1P2
SPEG	SPEG_+_220325454.23-P2
SPEG	SPEG_-_220306787.23-P1
SPEG	SPEG_-_220325667.23-P2
CACNB2	CACNB2_+_18429774.23-P1
CCBL1	CCBL1_-_131644221.23-P1P2
CDK19	CDK19_-_111136247.23-P1P2
GRID1	GRID1_-_88126538.23-P1P2
PTPN20B	PTPN20B_+_48827527.23-ENST00000509631.1
MTMR3	MTMR3_-_30279598.23-P1P2
OPLAH	OPLAH_-_145115130.23-P1P2
OPLAH	OPLAH_-_145115430.23-P1P2
MCFD2	MCFD2_-_47168823.23-P2
CELA1	CELA1_+_51740445.23-ENST00000293636.1
CTNS	CTNS_-_3540452.23-P1P2
PRKAR1B	PRKAR1B_-_751753.23-P1
CDKN2A	CDKN2A_+_21994362.23-P1
CDKN2A	CDKN2A_+_21994383.23-P1
ALPL	ALPL_+_21835978.23-P1
ALPL	ALPL_+_21878169.23-P2
ALPL	ALPL_-_21877856.23-P2
NME4	NME4_-_447633.23-P1P2
DUSP18	DUSP18_+_31063837.23-P1P2
HLA-DRB1	HLA-DRB1_-_32557616.23-P1P2
MELK	MELK_+_36572924.23-P1P2
IDE	IDE_-_94333767.23-P1P2
RARG	RARG_+_53625569.23-P2
GUK1	GUK1_-_228327993.23-P1P2
GUK1	GUK1_-_228327984.23-P1P2
PDP1	PDP1_-_94929617.23-P1P2
GNAT1	GNAT1_+_50229101.23-P1
PPP1R14C	PPP1R14C_+_150464251.23-P1P2
PIP5K1C	PIP5K1C_+_3700009.23-P1P2
PIP5K1C	PIP5K1C_+_3700441.23-P1P2
ARL	ARL1_+_101801468.23-P1P2
COX7A1	COX7A1_+_36643313.23-P1P2
COX7A1	COX7A1_+_36643337.23-P1P2
LCN9	LCN9_+_138555199.23-P1P2
LCN9	LCN9_-_138555579.23-P1P2
EPHB4	EPHB4_-_100425081.23-P1P2
PRSS2	PRSS2_+_142478813.23-P1P2
PRSS2	PRSS2_+_142478912.23-P1P2
INS	INS_+_2181939.23-P1P2
WNK3	WNK3_+_54384079.23-P1P2
PPP2R1B	PPP2R1B_-_111636677.23-P1P2
HTR1E	HTR1E_+_87647320.23-P1P2
STK32C	STK32C_-_134121414.23-P1
STK32C	STK32C_-_134120990.23-P1
STK32C	STK32C_+_134144953.23-P2
CLCNKA	CLCNKA_+_16355070.23-P1
IRAK1	IRAK1_+_153279785.23-P2
IRAK1	IRAK1_-_153279342.23-P2
SYN1	SYN1_-_47479221.23-P1P2
INSR	INSR_-_7294300.23-P1P2
POMC	POMC_+_25391409.23-P1P2
POMC	POMC_+_25391433.23-P1P2
PPM1E	PPM1E_-_56833222.23-P1P2
PPM1E	PPM1E_+_56833262.23-P1P2
GAPDH	GAPDH_-_6643770.23-P1
ACVR1C	ACVR1C_+_158484889.23-P1P2
TRPM8	TRPM8_+_234826065.23-P1P2
S100A7	S100A7_-_153432779.23-P1P2
EEF2K	EEF2K_+_22217680.23-P1P2
AMHR2	AMHR2_-_53819370.23-P1P2
MET	MET_-_116312458.23-P1P2
MET	MET_+_116312278.23-P1P2
CAMK1D	CAMK1D_-_12391587.23-P1P2
SLC12A5	SLC12A5_-_44657914.23-P2
COX5B	COX5B_+_98262901.23-P1P2
COX5B	COX5B_+_98262928.23-P1P2
FCER1G	FCER1G_+_161185105.23-P1P2
EPHA6	EPHA6_-_96533913.23-P1P2
GPX5	GPX5_+_28494133.23-P1P2
GPX7	GPX7_+_53068038.23-P1P2
KCNH7	KCNH7_+_163695228.23-P1P2
KCNH7	KCNH7_+_163695219.23-P1P2
EIF2AK4	EIF2AK4_+_40226467.23-P1P2
ALDH18A1	ALDH18A1_-_97416063.23-P1P2
ALDH18A1	ALDH18A1_+_97416448.23-P1P2
P2RY2	P2RY2_-_72929358.23-P1P2
ITGA2B	ITGA2B_+_42466453.23-P1P2
NDUFB9	NDUFB9_+_125551368.23-P1P2
FBP2	FBP2_-_97355853.23-P1P2
C1QA	C1QA_-_22963535.23-P1P2
C1QA	C1QA_-_22963573.23-P1P2
DPEP1	DPEP1_+_89696743.23-P1
DPEP1	DPEP1_-_89680121.23-P2
DPEP1	DPEP1_+_89696906.23-P1
ALPPL2	ALPPL2_+_233271581.23-P1P2
SLC12A7	SLC12A7_-_1112102.23-P1P2
HPD	HPD_-_122296765.23-P1P2
SCPEP1	SCPEP1_-_55055523.23-P1P2
EGLN2	EGLN2_-_41305172.23-P1
SSTR5	SSTR5_+_1122811.23-P2
FLT4	FLT4_-_180076578.23-P1P2
ANXA5	ANXA5_-_122618118.23-P1P2
PRKCG	PRKCG_+_54385665.23-P1P2
PRKCG	PRKCG_-_54385825.23-P1P2
AKAP3	AKAP3_-_4754118.23-P2
PCYT1B	PCYT1B_+_24665251.23-P1P2
EDA	EDA_+_68836408.23-P1P2
GUSB	GUSB_-_65446877.23-P1P2
KIF5B	KIF5B_+_32345338.23-P1P2
NAPB	NAPB_-_23401616.23-P1P2
MR1	MR1_-_181003158.23-P1P2
MTR	MTR_+_236958639.23-P1P2
MTR	MTR_+_236958804.23-P1P2
KSR2	KSR2_+_118406774.23-P1P2
KSR2	KSR2_+_118406762.23-P1P2
CPA1	CPA1_+_130020387.23-P1P2
TUBB3	TUBB3_+_89988390.23-P2
CTSV	CTSV_+_99801008.23-P1P2
NAGK	NAGK_-_71295842.23-P1P2
PMVK	PMVK_-_154909154.23-P1P2
IL2RB	IL2RB_+_37545497.23-P1P2
PRDX2	PRDX2_+_12912160.23-P1P2
GALK2	GALK2_+_49462885.23-P2
GALK2	GALK2_-_49448049.23-P1
DGKA	DGKA_-_56326234.23-P1P2
MTMR7	MTMR7_+_17270772.23-P1P2
PIM3	PIM3_-_50354814.23-P1P2
RLBP1	RLBP1_+_89764834.23-P1P2
REG1A	REG1A_+_79348065.23-P1P2
REG1A	REG1A_-_79347608.23-P1P2
PLK2	PLK2_+_57755850.23-P1
PLK2	PLK2_+_57755864.23-P1
PLK3	PLK3_-_45266040.23-P1P2
DUSP12	DUSP12_+_161719571.23-P1P2
ERN	ERN2_+_23724504.23-P1P2
KLK6	KLK6_+_51471528.23-P1P2
PRODH	PRODH_-_18905900.23-P2
PVALB	PVALB_+_37213006.23-P1P2
VRK1	VRK1_-_97263729.23-P1P2
VRK1	VRK1_-_97263741.23-P1P2
SLC16A7	SLC16A7_+_59990162.23-P1P2
SFTPD	SFTPD_-_81708420.23-P1P2
ST14	ST14_-_130029737.23-P1P2
GRIK4	GRIK4_+_120382871.23-P1P2
GRIK4	GRIK4_+_120382860.23-P1P2
KIF1A	KIF1A_-_241759571.23-P1P2
ACY1	ACY1_-_52017547.23-P1P2
CAMK2N1	CAMK2N1_-_20812403.23-P1P2
SLC19A2	SLC19A2_+_169454745.23-P1P2
CACNG1	CACNG1_+_65040747.23-P1P2
CACNG1	CACNG1_+_65040694.23-P1P2
PPFIA4	PPFIA4_-_202995702.23-P1P2
